QB Name,Years,Completed Passes,Attempted Passes,Passing Touchdowns,Interceptions Thrown,Passing Yards per Attempt,Interception Percentage,Quarterback Rating,Yards Per Game Played,Passing Yards
Tom Brady,2,443.0,664.5,41.5,12.0,7.5,1.85,102.15,301.15,4974.5
Aaron Rodgers,4,365.75,555.75,34.0,3.75,7.575,0.7,106.6,263.40000000000003,4214.5
Patrick Mahomes,5,310.0,469.0,30.2,7.4,8.139999999999999,1.8,100.44,298.21999999999997,3798.2
Josh Allen,4,311.25,499.75,25.75,11.5,6.9750000000000005,2.45,88.14999999999999,227.27499999999998,3528.5
Matthew Stafford,5,333.6,508.0,27.2,10.6,7.8199999999999985,2.04,98.88,273.82,3938.4
Dak Prescott,4,340.75,517.75,24.25,9.0,7.6000000000000005,1.7249999999999999,97.02499999999999,246.54999999999998,3944.5
Derek Carr,5,368.2,544.8,22.4,10.8,7.5200000000000005,1.9600000000000002,95.3,255.71999999999997,4101.2
Ryan Tannehill,1,201.0,286.0,22.0,6.0,9.6,2.1,117.5,228.5,2742.0
Kirk Cousins,2,360.5,538.5,34.0,10.0,7.9,1.85,104.05,265.20000000000005,4243.0
Matt Ryan,6,399.6666666666667,594.0,28.0,12.166666666666666,7.833333333333333,2.033333333333333,98.18333333333334,289.2,4627.166666666667
Jimmy Garoppolo,4,45.75,68.0,3.0,1.25,6.25,0.7,87.575,93.8,562.5
Teddy Bridgewater,1,285.0,426.0,18.0,7.0,7.2,1.6,94.9,218.0,3052.0
Carson Wentz,5,312.4,498.4,22.6,10.0,6.8199999999999985,2.04,89.86,248.01999999999998,3362.2
Jameis Winston,1,95.0,161.0,14.0,3.0,7.3,1.9,102.8,167.1,1170.0
Jared Goff,5,307.2,484.2,21.4,11.0,7.260000000000001,2.4,88.34,251.11999999999998,3634.2
Deshaun Watson,2,382.0,544.0,33.0,7.0,8.9,1.3,112.4,301.4,4823.0
Mitchell Trubisky,1,6.0,8.0,0.0,1.0,5.4,12.5,47.4,7.2,43.0
Taylor Heinicke,1,12.0,19.0,1.0,0.0,7.2,0.0,102.3,137.0,137.0
